Country,ISO,Year,CO2,Per_Capita_CO2,Renewable_Electricity_Share,GDP_Growth,Carbon_Rate_2023,comp_CO2,comp_PerCap,comp_RenewWeak,comp_GDPWeak,comp_PolicyWeak,Risk_Score,Risk_Category,Flag_Renewable_Imputed,Flag_GDP_Imputed,Flag_CarbonRate_Imputed
Morocco,MAR,2021,70.577665,1.903564,19.806295,8.0,-4.8800812,77.9279,37.8378,63.5135,16.8919,95.045,58.86,High,False,False,False
Moldova,MDA,2021,5.60151,1.829658,6.4564567,13.9,,40.991,36.9369,78.8288,4.0541,60.8108,46.08,Moderate,False,False,True
Madagascar,MDG,2021,4.244355,0.146784,34.44976,5.7,-5.3745308,37.8378,5.8559,38.7387,37.6126,95.9459,37.44,Moderate,False,False,False
Maldives,MDV,2021,2.118174,4.06203,7.5757575,41.7,,30.6306,60.8108,77.027,0.0,60.8108,46.69,Moderate,False,False,True
Mexico,MEX,2021,407.205037,3.213801,23.9353,5.8,28.653582,93.6937,52.2523,56.7568,36.2613,16.6667,59.85,High,False,False,False
Marshall Islands,MHL,2021,0.158962,3.780319,,1.0,,8.7838,56.3063,50.0,88.7387,60.8108,45.79,Moderate,True,False,True
North Macedonia,MKD,2021,6.851552,3.257478,29.545452,3.9,,44.5946,52.7027,43.2432,67.5676,60.8108,50.95,Moderate,False,False,True
Mali,MLI,2021,4.169758,0.190357,35.9882,3.1,,37.3874,8.1081,36.4865,76.1261,60.8108,39.46,Moderate,False,False,True
Malta,MLT,2021,1.724154,3.273205,10.138248,12.3,86.295029,27.9279,53.1532,74.3243,6.5315,5.4054,39.11,Moderate,False,False,False
Myanmar,MMR,2021,36.306759,0.674871,41.905186,-17.9,,70.2703,22.0721,30.6306,99.5495,60.8108,54.17,Moderate,False,False,True
Montenegro,MNE,2021,1.751386,2.789458,60.62992,13.0,,28.3784,49.0991,23.4234,5.4054,60.8108,31.08,Low,False,False,True
Mongolia,MNG,2021,50.315914,15.029627,9.831461,1.6,,74.7748,95.4955,75.2252,84.4595,60.8108,79.09,Very High,False,False,True
Mozambique,MOZ,2021,7.156209,0.223094,81.41637,2.4,,45.045,9.009,10.8108,79.955,60.8108,36.09,Moderate,False,False,True
Mauritania,MRT,2021,4.118111,0.892337,26.595745,2.4,,36.9369,25.2252,45.4955,79.955,60.8108,45.57,Moderate,False,False,True
Montserrat,MSR,2021,0.020678,4.681398,0.0,,,3.1532,66.6667,95.9459,50.2252,60.8108,51.88,Moderate,False,True,True
Martinique,MTQ,2021,2.100146,5.6946,0.0,,,30.1802,74.3243,95.9459,50.2252,60.8108,61.52,High,False,True,True
Mauritius,MUS,2021,4.471674,3.442622,21.180555,3.4,17.463127,38.2883,54.955,61.7117,72.2973,18.4685,50.6,Moderate,False,False,False
Malawi,MWI,2021,1.552193,0.07804,83.802826,4.6,,27.027,3.6036,9.009,61.2613,60.8108,26.35,Low,False,False,True
Malaysia,MYS,2021,256.048939,7.626434,19.313526,3.3,-26.520288,89.1892,82.4324,64.4144,73.8739,99.0991,80.34,Very High,False,False,False
Mayotte,MYT,2021,0.273281,0.864775,,,,12.1622,24.7748,50.0,50.2252,60.8108,34.72,Low,True,True,True
